	header_cols	label_width	className	XMin	YMin	XMax	YMax	ImagePath
0	2	5	0.000	0.2311	0.5400	0.5022	0.6525	001.Plastic_bag/images/train/b9176db9b1661faa.jpg
1	2	5	0.000	0.0056	0.0017	0.9900	0.9958	001.Plastic_bag/images/train/3435faef2c5ccd6a.jpg
2	2	5	0.000	0.2139	0.1016	0.7422	0.6432	001.Plastic_bag/images/train/e39390cebf26f22c.jpg
3	2	5	0.000	0.0000	0.0000	0.9992	0.9988	001.Plastic_bag/images/train/711d64cd98b9be73.jpg
4	2	5	0.000	0.2458	0.7406	0.4650	0.8875	001.Plastic_bag/images/train/60516e61f76f6ebf.jpg
5	2	5	0.000	0.0000	0.0000	0.2050	0.3467	001.Plastic_bag/images/train/fdb6e0d1eb8fcc9e.jpg
6	2	5	0.000	0.0012	0.4286	0.3071	0.8466	001.Plastic_bag/images/train/15230047d350afdc.jpg
7	2	5	0.000	0.0000	0.3499	0.2375	0.8518	001.Plastic_bag/images/train/7b79226232f38c17.jpg
8	2	5	0.000	0.3650	0.7508	0.6456	0.9992	001.Plastic_bag/images/train/00ac97302d6c1582.jpg
9	2	5	0.000	0.4919	0.4600	0.6419	0.7283	001.Plastic_bag/images/train/00a76046606aa888.jpg
10	2	5	0.000	0.2556	0.7917	0.4606	0.9991	001.Plastic_bag/images/train/af266c5d56e3c7bc.jpg
11	2	5	0.000	0.0106	0.1923	0.5038	1.0000	001.Plastic_bag/images/train/0f3fcc9a5a7975ba.jpg
12	2	5	0.000	0.0400	0.0800	0.9992	0.9219	001.Plastic_bag/images/train/30aa6eb04dddeb5f.jpg
13	2	5	0.000	0.3725	0.4358	0.4231	0.5550	001.Plastic_bag/images/train/614a6b3531b9f0dc.jpg
14	2	5	0.000	0.1973	0.0000	0.3200	0.0280	001.Plastic_bag/images/train/ecb16eefdc523ea0.jpg
15	2	5	0.000	0.0000	0.0206	0.1663	0.7533	001.Plastic_bag/images/train/2db9e7848a1f7870.jpg
16	2	5	0.000	0.3120	0.2260	0.8720	0.3780	001.Plastic_bag/images/train/ecb16eefdc523ea0.jpg
17	2	5	0.000	0.0433	0.7400	0.3217	0.9988	001.Plastic_bag/images/train/a8b17d203d9eea1a.jpg
18	2	5	0.000	0.2861	0.6021	0.8066	0.9721	001.Plastic_bag/images/train/0584a649be6bf199.jpg
19	2	5	0.000	0.1834	0.5600	0.5479	0.8309	001.Plastic_bag/images/train/4f19816d0b0a1a8c.jpg
20	2	5	0.000	0.0000	0.0000	0.9994	0.9992	001.Plastic_bag/images/train/0266e0072fd9e038.jpg
21	2	5	0.000	0.0723	0.4125	0.4424	0.6219	001.Plastic_bag/images/train/9e532206d4fc28fc.jpg
22	2	5	0.000	0.0000	0.3200	0.0320	0.3780	001.Plastic_bag/images/train/ecb16eefdc523ea0.jpg
23	2	5	0.000	0.7825	0.7267	0.9062	0.9175	001.Plastic_bag/images/train/02c05018da2870de.jpg
24	2	5	0.000	0.4813	0.4224	0.6369	0.6453	001.Plastic_bag/images/train/4de3d1f41968bd96.jpg
25	2	5	0.000	0.4544	0.5308	0.5319	0.6342	001.Plastic_bag/images/train/32eedcc25c63f627.jpg
26	2	5	0.000	0.5444	0.0125	0.8419	0.3567	001.Plastic_bag/images/train/86df71a0d5988be8.jpg
27	2	5	0.000	0.0000	0.0000	0.9994	0.9992	001.Plastic_bag/images/train/46885171f40ad598.jpg
28	2	5	0.000	0.6312	0.6583	0.8225	0.8033	001.Plastic_bag/images/train/7393fb4299dd9e83.jpg
